"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:46 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-cpupa","Thread","0","0","28","all","0","1","30333312","605533083","0","0","30240","868791","321357","99646","1159243","84455280"
"FAPP-cpupa","Thread","0","0","29","all","0","1","30259392","604013466","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","30","all","0","1","30389248","607678184","0","0","30240","868581","320937","99646","1159243","84455280"
"FAPP-cpupa","Thread","0","0","31","all","0","1","38535072","770664579","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","32","all","0","1","30278176","603379076","0","0","30240","868791","321357","99646","1159243","84455280"
"FAPP-cpupa","Thread","0","0","33","all","0","1","30353984","604829760","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","34","all","0","1","30347200","606909143","0","0","30240","868581","320937","99646","1159243","84455280"
"FAPP-cpupa","Thread","0","0","35","all","0","1","30142816","602819243","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","36","all","0","1","30400384","602054434","0","0","30240","868791","321357","99646","1159243","84455280"
"FAPP-cpupa","Thread","0","0","37","all","0","1","30148000","602924462","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","38","all","0","1","30141152","602786430","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","39","all","0","1","30272832","604330325","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","40","all","0","1","38515488","770273625","0","0","30240","868799","321367","99646","1159253","84455280"
"FAPP-cpupa","Thread","0","0","41","all","0","1","30153536","601939531","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","42","all","0","1","30194176","602717430","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","43","all","0","1","30279136","605546253","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","44","all","0","1","30167904","602228384","0","0","30240","868795","321362","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","45","all","0","1","30252960","605023395","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","46","all","0","1","30154208","603048107","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","47","all","0","1","30265024","605263276","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Process","0","0","-","kernel","1","40320","563382048","9887058344","0","0","0","40682880","8023680","4717440","48021120","4053853440"
"FAPP-cpupa","Thread","0","0","0","kernel","1","840","11889408","210710964","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","1","kernel","1","840","11971008","211149913","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","2","kernel","1","840","12004640","211485024","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","3","kernel","1","840","12004544","211527098","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","4","kernel","1","840","11975904","211589899","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","5","kernel","1","840","12041728","210792626","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","6","kernel","1","840","11991552","211771946","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","7","kernel","1","840","12002016","211879835","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","8","kernel","1","840","12072640","212908724","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","9","kernel","1","840","12109344","213598306","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","10","kernel","1","840","12111744","212648281","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","11","kernel","1","840","12095552","213438662","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","12","kernel","1","840","11528416","202100948","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","13","kernel","1","840","11518528","202225330","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","14","kernel","1","840","11524736","202463343","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","15","kernel","1","840","11538272","201332654","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","16","kernel","1","840","11533184","202361547","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","17","kernel","1","840","11578176","202963127","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","18","kernel","1","840","11574592","203161544","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","19","kernel","1","840","11618048","203546770","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","20","kernel","1","840","11532192","202217528","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","21","kernel","1","840","11633760","203609073","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","22","kernel","1","840","11547200","202307277","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","23","kernel","1","840","11611712","203365194","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","24","kernel","1","840","11669984","204349064","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","25","kernel","1","840","11665536","204291972","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","26","kernel","1","840","11682432","204713795","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","27","kernel","1","840","11665600","204455818","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","28","kernel","1","840","11656608","204001662","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","29","kernel","1","840","11667680","203978801","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","30","kernel","1","840","11675392","204394917","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","31","kernel","1","840","11661280","204373568","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","32","kernel","1","840","11681408","205017373","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","33","kernel","1","840","11693664","204772428","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","34","kernel","1","840","11665760","204609893","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","35","kernel","1","840","11713920","205182755","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","36","kernel","1","840","11680288","204768148","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","37","kernel","1","840","11650784","204260272","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","38","kernel","1","840","11673280","204941938","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","39","kernel","1","840","11675872","204773836","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","40","kernel","1","840","11696384","205075558","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","41","kernel","1","840","11695232","204991580","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","42","kernel","1","840","11657408","204387146","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","43","kernel","1","840","11708736","204818276","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","44","kernel","1","840","11693280","204862571","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","45","kernel","1","840","11673600","204597145","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","46","kernel","1","840","11727968","205038971","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Thread","0","0","47","kernel","1","840","11741056","205245244","0","0","0","847560","167160","98280","1000440","84455280"
"FAPP-cpupa","Process","0","0","-","packB","1","40320","725929184","13165204351","0","0","0","43180","4561625","40320","4234025","0"
"FAPP-cpupa","Thread","0","0","0","packB","1","840","14987360","273350391","0","0","0","1058","105430","840","98290","0"
"FAPP-cpupa","Thread","0","0","1","packB","1","840","15037408","273154936","0","0","0","848","105010","840","98290","0"
"FAPP-cpupa","Thread","0","0","2","packB","1","840","15003552","272405447","0","0","0","848","105010","840","98290","0"
"FAPP-cpupa","Thread","0","0","3","packB","1","840","15060768","273299213","0","0","0","848","105010","840","98290","0"
"FAPP-cpupa","Thread","0","0","4","packB","1","840","15014656","272859177","0","0","0","1058","105430","840","98290","0"
"FAPP-cpupa","Thread","0","0","5","packB","1","840","15046784","271471852","0","0","0","848","105010","840","98290","0"
"FAPP-cpupa","Thread","0","0","6","packB","1","840","15050112","273722215","0","0","0","848","105010","840","98290","0"
"FAPP-cpupa","Thread","0","0","7","packB","1","840","14996576","272691701","0","0","0","848","105010","840","98290","0"
"FAPP-cpupa","Thread","0","0","8","packB","1","840","15045120","273148861","0","0","0","1058","105430","840","98290","0"
"FAPP-cpupa","Thread","0","0","9","packB","1","840","15020928","272633697","0","0","0","848","105010","840","98290","0"
"FAPP-cpupa","Thread","0","0","10","packB","1","840","15004896","271048190","0","0","0","848","105010","840","98290","0"
"FAPP-cpupa","Thread","0","0","11","packB","1","840","15017952","272609143","0","0","0","848","105010","840","98290","0"
"FAPP-cpupa","Thread","0","0","12","packB","1","840","15120928","274933083","0","0","0","1058","105430","840","98290","0"
"FAPP-cpupa","Thread","0","0","13","packB","1","840","15245312","277480525","0","0","0","848","105010","840","98290","0"
"FAPP-cpupa","Thread","0","0","14","packB","1","840","15194240","276843937","0","0","0","848","105010","840","98290","0"
"FAPP-cpupa","Thread","0","0","15","packB","1","840","15280448","276708163","0","0","0","848","105010","840","98290","0"
"FAPP-cpupa","Thread","0","0","16","packB","1","840","15164896","275913139","0","0","0","1058","90310","840","83170","0"
"FAPP-cpupa","Thread","0","0","17","packB","1","840","15127072","274823624","0","0","0","848","89890","840","83170","0"
"FAPP-cpupa","Thread","0","0","18","packB","1","840","15212544","276621093","0","0","0","848","89890","840","83170","0"
"FAPP-cpupa","Thread","0","0","19","packB","1","840","15219648","276606364","0","0","0","848","89890","840","83170","0"
"FAPP-cpupa","Thread","0","0","20","packB","1","840","15217664","276629067","0","0","0","1058","90310","840","83170","0"
"FAPP-cpupa","Thread","0","0","21","packB","1","840","15184320","275388303","0","0","0","848","89890","840","83170","0"
"FAPP-cpupa","Thread","0","0","22","packB","1","840","15121024","274338404","0","0","0","848","89890","840","83170","0"
"FAPP-cpupa","Thread","0","0","23","packB","1","840","15174688","275227281","0","0","0","848","89890","840","83170","0"
"FAPP-cpupa","Thread","0","0","24","packB","1","840","15122144","273915613","0","0","0","1058","90310","840","83170","0"
"FAPP-cpupa","Thread","0","0","25","packB","1","840","15169632","275011789","0","0","0","848","89890","840","83170","0"
"FAPP-cpupa","Thread","0","0","26","packB","1","840","15124704","274233349","0","0","0","848","89890","840","83170","0"
"FAPP-cpupa","Thread","0","0","27","packB","1","840","15158976","274822013","0","0","0","848","89890","840","83170","0"
"FAPP-cpupa","Thread","0","0","28","packB","1","840","15131776","273906143","0","0","0","1058","90310","840","83170","0"
"FAPP-cpupa","Thread","0","0","29","packB","1","840","15140512","273739166","0","0","0","848","89890","840","83170","0"
"FAPP-cpupa","Thread","0","0","30","packB","1","840","15167392","274741303","0","0","0","848","89890","840","83170","0"
"FAPP-cpupa","Thread","0","0","31","packB","1","840","15155040","274916592","0","0","0","848","89890","840","83170","0"
"FAPP-cpupa","Thread","0","0","32","packB","1","840","15028512","272563784","0","0","0","1058","90310","840","83170","0"
"FAPP-cpupa","Thread","0","0","33","packB","1","840","15055232","272401814","0","0","0","848","89890","840","83170","0"
"FAPP-cpupa","Thread","0","0","34","packB","1","840","15169888","275233133","0","0","0","848","89890","840","83170","0"
"FAPP-cpupa","Thread","0","0","35","packB","1","840","15187040","274656486","0","0","0","848","89890","840","83170","0"
"FAPP-cpupa","Thread","0","0","36","packB","1","840","15163008","274613888","0","0","0","1054","90305","840","83165","0"
"FAPP-cpupa","Thread","0","0","37","packB","1","840","15140512","274239076","0","0","0","844","89885","840","83165","0"
"FAPP-cpupa","Thread","0","0","38","packB","1","840","15156864","275153264","0","0","0","844","89885","840","83165","0"
"FAPP-cpupa","Thread","0","0","39","packB","1","840","15113408","273810594","0","0","0","844","89885","840","83165","0"
"FAPP-cpupa","Thread","0","0","40","packB","1","840","15187904","275145997","0","0","0","1058","90310","840","83170","0"
"FAPP-cpupa","Thread","0","0","41","packB","1","840","15095712","273351202","0","0","0","844","89885","840","83165","0"
"FAPP-cpupa","Thread","0","0","42","packB","1","840","15102112","273498371","0","0","0","844","89885","840","83165","0"
"FAPP-cpupa","Thread","0","0","43","packB","1","840","15184672","274590253","0","0","0","844","89885","840","83165","0"
"FAPP-cpupa","Thread","0","0","44","packB","1","840","15120640","273665850","0","0","0","1054","90305","840","83165","0"
"FAPP-cpupa","Thread","0","0","45","packB","1","840","15154368","274399133","0","0","0","844","89885","840","83165","0"
"FAPP-cpupa","Thread","0","0","46","packB","1","840","15175968","274288430","0","0","0","844","89885","840","83165","0"
"FAPP-cpupa","Thread","0","0","47","packB","1","840","15174272","274399302","0","0","0","844","89885","840","83165","0"
