"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:53 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","0","30","all","0","1","30032800","600620481","24902","420","0","0","846825","30370","0","0"
"FAPP-cpupa","Thread","0","0","31","all","0","1","37179968","743563887","24902","420","0","0","846825","30370","0","0"
"FAPP-cpupa","Thread","0","0","32","all","0","1","29971104","599386343","24902","420","0","0","847035","30580","0","0"
"FAPP-cpupa","Thread","0","0","33","all","0","1","30015264","600269419","24902","420","0","0","846825","30370","0","0"
"FAPP-cpupa","Thread","0","0","34","all","0","1","30347424","606915125","24902","420","0","0","846825","30370","0","0"
"FAPP-cpupa","Thread","0","0","35","all","0","1","30062304","599033889","24902","420","0","0","846825","30370","0","0"
"FAPP-cpupa","Thread","0","0","36","all","0","1","30003488","575094219","24902","420","0","0","847035","30580","0","0"
"FAPP-cpupa","Thread","0","0","37","all","0","1","30065088","600184652","24902","420","0","0","846825","30374","0","0"
"FAPP-cpupa","Thread","0","0","38","all","0","1","30022624","600416490","24902","420","0","0","846825","30374","0","0"
"FAPP-cpupa","Thread","0","0","39","all","0","1","30006080","600087042","24902","420","0","0","846825","30374","0","0"
"FAPP-cpupa","Thread","0","0","40","all","0","1","30009440","599047122","24902","420","0","0","847035","30584","0","0"
"FAPP-cpupa","Thread","0","0","41","all","0","1","30013248","599071584","24902","420","0","0","846825","30374","0","0"
"FAPP-cpupa","Thread","0","0","42","all","0","1","30097600","601914061","24902","420","0","0","846825","30370","0","0"
"FAPP-cpupa","Thread","0","0","43","all","0","1","30046208","599743469","24902","420","0","0","846825","30370","0","0"
"FAPP-cpupa","Thread","0","0","44","all","0","1","30057152","598936804","24902","420","0","0","847035","30580","0","0"
"FAPP-cpupa","Thread","0","0","45","all","0","1","30071712","601344647","24902","420","0","0","846825","30370","0","0"
"FAPP-cpupa","Thread","0","0","46","all","0","1","29973088","598349502","24902","420","0","0","846825","30374","0","0"
"FAPP-cpupa","Thread","0","0","47","all","0","1","30021536","599312132","24902","420","0","0","846825","30370","0","0"
"FAPP-cpupa","Process","0","0","-","kernel","1","40320","561126432","9862116440","766080","0","0","0","40642560","40320","0","0"
"FAPP-cpupa","Thread","0","0","0","kernel","1","840","11869408","210228484","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","1","kernel","1","840","11909184","210924768","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","2","kernel","1","840","11962944","211093917","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","3","kernel","1","840","11938144","210904012","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","4","kernel","1","840","11967744","211821782","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","5","kernel","1","840","11999104","212048081","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","6","kernel","1","840","11972288","211593744","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","7","kernel","1","840","11993824","212044504","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","8","kernel","1","840","11996128","211701165","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","9","kernel","1","840","12056000","212723335","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","10","kernel","1","840","11947872","211370778","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","11","kernel","1","840","12011456","212343178","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","12","kernel","1","840","11533504","201932481","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","13","kernel","1","840","11540416","202031468","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","14","kernel","1","840","11557376","202596490","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","15","kernel","1","840","11524704","202172125","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","16","kernel","1","840","11566816","202815852","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","17","kernel","1","840","11546016","202200204","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","18","kernel","1","840","11561152","202679444","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","19","kernel","1","840","11567200","202885349","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","20","kernel","1","840","11590368","202841758","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","21","kernel","1","840","11583264","202822765","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","22","kernel","1","840","11598464","202936376","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","23","kernel","1","840","11604608","203313781","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","24","kernel","1","840","11624288","204140300","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","25","kernel","1","840","11622592","203948800","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","26","kernel","1","840","11608480","203513853","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","27","kernel","1","840","11600448","203841654","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","28","kernel","1","840","11605632","203791984","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","29","kernel","1","840","11622208","204423784","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","30","kernel","1","840","11633248","204195308","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","31","kernel","1","840","11605184","203781906","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","32","kernel","1","840","11610624","203795790","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","33","kernel","1","840","11639680","203974624","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","34","kernel","1","840","11657056","204635034","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","35","kernel","1","840","11609184","203567871","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","36","kernel","1","840","11580096","203045348","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","37","kernel","1","840","11587776","203388900","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","38","kernel","1","840","11615584","203822930","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","39","kernel","1","840","11572672","203543576","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","40","kernel","1","840","11596576","203736006","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","41","kernel","1","840","11626784","204085043","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","42","kernel","1","840","11603968","203560008","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","43","kernel","1","840","11627456","204069899","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","44","kernel","1","840","11598176","203735020","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","45","kernel","1","840","11611808","204133740","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","46","kernel","1","840","11631552","203508603","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Thread","0","0","47","kernel","1","840","11637376","203850618","15960","0","0","0","846720","840","0","0"
"FAPP-cpupa","Process","0","0","-","packB","1","40320","723038880","13124629708","342720","0","0","0","2520","43176","0","0"
"FAPP-cpupa","Thread","0","0","0","packB","1","840","14978272","272983534","7140","0","0","0","210","1058","0","0"
"FAPP-cpupa","Thread","0","0","1","packB","1","840","15008384","273333661","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","2","packB","1","840","14951648","271687846","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","3","packB","1","840","15014112","272754401","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","4","packB","1","840","14942272","271856321","7140","0","0","0","210","1058","0","0"
"FAPP-cpupa","Thread","0","0","5","packB","1","840","14924224","270994107","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","6","packB","1","840","14935968","271405842","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","7","packB","1","840","14949632","271942928","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","8","packB","1","840","15004448","272568611","7140","0","0","0","210","1058","0","0"
"FAPP-cpupa","Thread","0","0","9","packB","1","840","14963232","271466159","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","10","packB","1","840","14977120","272303614","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","11","packB","1","840","14918816","270986772","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","12","packB","1","840","15145600","275418035","7140","0","0","0","210","1058","0","0"
"FAPP-cpupa","Thread","0","0","13","packB","1","840","15164544","275657222","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","14","packB","1","840","15059680","273646713","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","15","packB","1","840","15101984","274918258","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","16","packB","1","840","15156704","275573094","7140","0","0","0","210","1058","0","0"
"FAPP-cpupa","Thread","0","0","17","packB","1","840","15150528","275423366","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","18","packB","1","840","15159488","275629608","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","19","packB","1","840","15105248","274599790","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","20","packB","1","840","15144832","274765365","7140","0","0","0","210","1058","0","0"
"FAPP-cpupa","Thread","0","0","21","packB","1","840","15097824","273770164","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","22","packB","1","840","15067648","273099953","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","23","packB","1","840","15141376","274734426","7140","0","0","0","0","848","0","0"
"FAPP-cpupa","Thread","0","0","24","packB","1","840","14973248","271458900","7140","0","0","0","210","1054","0","0"
"FAPP-cpupa","Thread","0","0","25","packB","1","840","15083648","273727960","7140","0","0","0","0","844","0","0"
"FAPP-cpupa","Thread","0","0","26","packB","1","840","15040960","272727121","7140","0","0","0","0","844","0","0"
"FAPP-cpupa","Thread","0","0","27","packB","1","840","15074464","273927933","7140","0","0","0","0","844","0","0"
"FAPP-cpupa","Thread","0","0","28","packB","1","840","15084160","273606661","7140","0","0","0","210","1054","0","0"
