"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:17 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.869744","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.092703","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.124380","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0240","0x0241","0x0330","0x0274","0x01a4","0x01b4","0x01a5","0x01b5"
"FAPP-cpupa","Thread","0","0","24","all","0","1","30146112","595898140","167261912","192808665","468615488","9962202","133194752","2041369298","127215810","2027605040"
"FAPP-cpupa","Thread","0","0","25","all","0","1","30248096","603848991","165070517","168058526","469107261","9872693","133204134","2041476865","127192469","2027226636"
"FAPP-cpupa","Thread","0","0","26","all","0","1","30345248","606817833","165064641","167962999","469183862","10143943","133232662","2041928782","127211470","2027538604"
"FAPP-cpupa","Thread","0","0","27","all","0","1","30152608","603014840","165186774","168119471","469069290","10025077","133196288","2041484274","127226354","2027771748"
"FAPP-cpupa","Thread","0","0","28","all","0","1","30278720","604460706","164806284","167490000","469125681","10025522","133189304","2041384850","127230072","2027859427"
"FAPP-cpupa","Thread","0","0","29","all","0","1","30267808","604252248","165151218","167832164","468742911","10059986","133222339","2041874898","127225193","2027794393"
"FAPP-cpupa","Thread","0","0","30","all","0","1","30214016","604245037","164920595","168181511","469115234","10229487","133209677","2041620632","127195526","2027299527"
"FAPP-cpupa","Thread","0","0","31","all","0","1","30144480","601775953","165157488","168136271","469035498","10253822","133198303","2041584052","127197412","2027335270"
"FAPP-cpupa","Thread","0","0","32","all","0","1","30162112","602130925","165413383","168380677","468664799","10910825","133207063","2041546152","127212531","2027575669"
"FAPP-cpupa","Thread","0","0","33","all","0","1","30344064","606789830","166377330","168787876","469180422","10881575","133214674","2041663747","127200868","2027402691"
"FAPP-cpupa","Thread","0","0","34","all","0","1","30371712","606313359","165048841","168283020","469168121","10694453","133219601","2041798859","127237542","2027979479"
"FAPP-cpupa","Thread","0","0","35","all","0","1","30158528","603134293","165190333","168115593","469073648","10195732","133187322","2041322804","127197805","2027326353"
"FAPP-cpupa","Thread","0","0","36","all","0","1","30271200","580419264","167589932","179200698","472864315","10630360","133185852","2041283981","127225889","2027763157"
"FAPP-cpupa","Thread","0","0","37","all","0","1","36533024","729513775","165486659","168157875","472524668","10373394","133209106","2041611443","127206427","2027462880"
"FAPP-cpupa","Thread","0","0","38","all","0","1","30247456","603816955","165237969","168202013","472857771","10211915","133230170","2041931727","127207020","2027474653"
"FAPP-cpupa","Thread","0","0","39","all","0","1","36594496","731851016","165363409","168352082","472997789","10376576","133197111","2041459180","127199984","2027343659"
"FAPP-cpupa","Thread","0","0","40","all","0","1","30308672","605041904","165156668","167746954","472883452","10066884","133196058","2041498868","127236069","2027950912"
"FAPP-cpupa","Thread","0","0","41","all","0","1","30254912","605061499","165303843","168143199","472876258","10193640","133231778","2042120440","127214867","2027644669"
"FAPP-cpupa","Thread","0","0","42","all","0","1","30556576","611096815","165269036","168557300","472934251","10080117","133225264","2041870753","127192762","2027276360"
"FAPP-cpupa","Thread","0","0","43","all","0","1","30254208","603955049","165319606","168185026","472433011","10093435","133189796","2041479628","127214537","2027611023"
"FAPP-cpupa","Thread","0","0","44","all","0","1","30281952","605603081","164972812","168229486","472889184","10240424","133183833","2041176070","127208459","2027483385"
"FAPP-cpupa","Thread","0","0","45","all","0","1","30116288","602288833","166094067","169245030","472838536","10491021","133204690","2041606948","127207417","2027469445"
"FAPP-cpupa","Thread","0","0","46","all","0","1","30206144","604086881","164899631","168333581","472859975","10453347","133207271","2041680361","127217565","2027632108"
"FAPP-cpupa","Thread","0","0","47","all","0","1","30198368","602798017","164992146","167963653","472412683","10164853","133176972","2041254597","127185566","2027111417"
"FAPP-cpupa","Process","0","0","-","kernel","1","40320","563336480","9887519034","5351125337","5385383025","12028459403","70598551","6189184839","97957747379","6103618595","97293297980"
