"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:49 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.739857","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.092143","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.124024","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8008","0x0198","0x0199","0x0139","0x0010","0x0012","-","-"
"FAPP-cpupa","Thread","0","0","27","all","0","1","29972576","599417628","521314514","3782571","0","515786750","235692","14885591","0","0"
"FAPP-cpupa","Thread","0","0","28","all","0","1","30005664","600078151","522713268","3802153","0","517184811","238738","15392968","0","0"
"FAPP-cpupa","Thread","0","0","29","all","0","1","36898784","736855719","522482353","3804623","0","516951301","238994","15311534","0","0"
"FAPP-cpupa","Thread","0","0","30","all","0","1","29951840","599001443","521604570","3780952","0","516078798","236389","15056035","0","0"
"FAPP-cpupa","Thread","0","0","31","all","0","1","29939296","597683721","521918678","3805139","0","516390484","236384","15108180","0","0"
"FAPP-cpupa","Thread","0","0","32","all","0","1","29966368","599291159","522330786","3772423","0","516805087","237383","15314518","0","0"
"FAPP-cpupa","Thread","0","0","33","all","0","1","29945920","596728502","522282324","3774536","0","516755072","235956","15299757","0","0"
"FAPP-cpupa","Thread","0","0","34","all","0","1","29969920","599362759","522496786","3782310","0","516969763","231299","15379369","0","0"
"FAPP-cpupa","Thread","0","0","35","all","0","1","29969184","599295591","521135532","3794948","0","515610537","225659","14824505","0","0"
"FAPP-cpupa","Thread","0","0","36","all","0","1","29983392","584673463","576236500","3816431","0","570649839","234082","34031102","0","0"
"FAPP-cpupa","Thread","0","0","37","all","0","1","36884832","737662332","522012047","3807504","0","516482177","230359","15192747","0","0"
"FAPP-cpupa","Thread","0","0","38","all","0","1","29956640","596921129","523422662","3796294","0","517895019","228833","15646104","0","0"
"FAPP-cpupa","Thread","0","0","39","all","0","1","29957280","599110380","522270068","3807182","0","516743053","229013","15228332","0","0"
"FAPP-cpupa","Thread","0","0","40","all","0","1","36944128","737762134","521379916","3803330","0","515850003","222667","14897504","0","0"
"FAPP-cpupa","Thread","0","0","41","all","0","1","29965408","599275351","522674497","3790242","0","517147590","225752","15375996","0","0"
"FAPP-cpupa","Thread","0","0","42","all","0","1","29941696","598733063","522127204","3803190","0","516599375","228886","15175341","0","0"
"FAPP-cpupa","Thread","0","0","43","all","0","1","30274080","604317469","522873247","3793676","0","517345335","225024","15494434","0","0"
"FAPP-cpupa","Thread","0","0","44","all","0","1","29938368","597643267","522179844","3788829","0","516651992","229431","15248989","0","0"
"FAPP-cpupa","Thread","0","0","45","all","0","1","29958112","598037192","522227165","3801138","0","516701046","231346","15271969","0","0"
"FAPP-cpupa","Thread","0","0","46","all","0","1","29968128","598199275","522121796","3784732","0","516594627","230963","15232602","0","0"
"FAPP-cpupa","Thread","0","0","47","all","0","1","29950144","598966628","521337397","3777948","0","515810095","227158","14885363","0","0"
"FAPP-cpupa","Process","0","0","-","kernel","1","40320","559997792","9860645259","21759544947","40327811","0","21703627883","3407532","355855934","0","0"
"FAPP-cpupa","Thread","0","0","0","kernel","1","840","11880896","210808642","453026053","825959","0","451861918","74452","7313427","0","0"
"FAPP-cpupa","Thread","0","0","1","kernel","1","840","11900928","211186308","453146029","833305","0","451981357","69402","7342291","0","0"
"FAPP-cpupa","Thread","0","0","2","kernel","1","840","11944224","211547972","453570417","829294","0","452404571","74895","7509803","0","0"
"FAPP-cpupa","Thread","0","0","3","kernel","1","840","11945504","212057638","453152512","825546","0","451987998","72213","7342248","0","0"
"FAPP-cpupa","Thread","0","0","4","kernel","1","840","11935392","211454788","453220948","838219","0","452054459","70895","7383985","0","0"
"FAPP-cpupa","Thread","0","0","5","kernel","1","840","11962496","212298228","453146042","841590","0","451981021","70799","7340742","0","0"
