"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:24 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.907638","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091276","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123657","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8010","0x8028","0x8034","0x0070","0x0071","0x8085","0x8086","0x8087"
"FAPP-cpupa","Thread","0","0","25","all","0","1","30250272","604970256","253565760","253532160","0","131652384","10765693","122315122","5152202","3049535"
"FAPP-cpupa","Thread","0","0","26","all","0","1","29977952","599524858","253565760","253532160","0","131716545","10806219","122315122","5152202","3049537"
"FAPP-cpupa","Thread","0","0","27","all","0","1","29992416","599751798","253565760","253532160","0","131692715","10779612","122315122","5152202","3049535"
"FAPP-cpupa","Thread","0","0","28","all","0","1","30251136","604986461","253565760","253532160","0","131684587","10777176","122315122","5152622","3049535"
"FAPP-cpupa","Thread","0","0","29","all","0","1","30156448","603092287","253565760","253532160","0","131652427","10765654","122315122","5152202","3049535"
"FAPP-cpupa","Thread","0","0","30","all","0","1","29981184","599589177","253565760","253532160","0","131618766","10735328","122315122","5152202","3049533"
"FAPP-cpupa","Thread","0","0","31","all","0","1","29985600","599614672","253565760","253532160","0","131628669","10739114","122315117","5152197","3049533"
"FAPP-cpupa","Thread","0","0","32","all","0","1","29980416","599574151","253565760","253532160","0","131620646","10736854","122315122","5152622","3049534"
"FAPP-cpupa","Thread","0","0","33","all","0","1","30187552","602530848","253565760","253532160","0","131630903","10740675","122315122","5152202","3049539"
"FAPP-cpupa","Thread","0","0","34","all","0","1","29993152","598732784","253565760","253532160","0","131619648","10735887","122315122","5152202","3049532"
"FAPP-cpupa","Thread","0","0","35","all","0","1","30213376","603083403","253565760","253532160","0","131664233","10770503","122315122","5152202","3049536"
"FAPP-cpupa","Thread","0","0","36","all","0","1","29984672","584750413","253565760","253532160","0","148905150","10943025","122315117","5152617","3049545"
"FAPP-cpupa","Thread","0","0","37","all","0","1","30547776","610919224","253565760","253532160","0","131692701","10775606","122315122","5152202","3049533"
"FAPP-cpupa","Thread","0","0","38","all","0","1","30004512","598932699","253565760","253532160","0","131630734","10736168","122315122","5152202","3049533"
"FAPP-cpupa","Thread","0","0","39","all","0","1","30022592","599265480","253565760","253532160","0","131703733","10779819","122315117","5152197","3049532"
"FAPP-cpupa","Thread","0","0","40","all","0","1","30242272","604810051","253565760","253532160","0","131630483","10736638","122315122","5152622","3049533"
"FAPP-cpupa","Thread","0","0","41","all","0","1","30122048","602404505","253565760","253532160","0","131692567","10775460","122315117","5152197","3049533"
"FAPP-cpupa","Thread","0","0","42","all","0","1","29988992","599744385","253565760","253532160","0","131628867","10735315","122315122","5152202","3049535"
"FAPP-cpupa","Thread","0","0","43","all","0","1","29982016","599606045","253565760","253532160","0","131662961","10765830","122315122","5152202","3049535"
"FAPP-cpupa","Thread","0","0","44","all","0","1","30249248","603793929","253565760","253532160","0","131675726","10771418","122315117","5152617","3049531"
"FAPP-cpupa","Thread","0","0","45","all","0","1","30072000","601403825","253565760","253532160","0","131692758","10775688","122315122","5152202","3049533"
"FAPP-cpupa","Thread","0","0","46","all","0","1","29988256","598640449","253565760","253532160","0","131629463","10735641","122315122","5152202","3049534"
"FAPP-cpupa","Thread","0","0","47","all","0","1","30004992","600063918","253565760","253532160","0","131628113","10734954","122315117","5152197","3049532"
"FAPP-cpupa","Process","0","0","-","kernel","1","40320","562858176","9876892110","12169543680","12169543680","0","5786237631","114645510","5672842560","50480640","14313600"
"FAPP-cpupa","Thread","0","0","0","kernel","1","840","11892160","210389528","253532160","253532160","0","120538946","2383183","118184220","1051680","298200"
"FAPP-cpupa","Thread","0","0","1","kernel","1","840","11908288","210609120","253532160","253532160","0","120547386","2390763","118184220","1051680","298200"
