"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:56 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","0","29","all","0","1","30006720","600099975","8627385","0","0","3885087","0","0","3286994","0"
"FAPP-cpupa","Thread","0","0","30","all","0","1","30030656","600578303","8677774","0","0","2451433","0","0","3344133","0"
"FAPP-cpupa","Thread","0","0","31","all","0","1","30068448","601331257","8721436","0","0","2965401","0","0","3439259","0"
"FAPP-cpupa","Thread","0","0","32","all","0","1","29975296","599473283","8664922","0","0","4424912","0","0","3370944","0"
"FAPP-cpupa","Thread","0","0","33","all","0","1","30337504","604533326","8597336","0","0","2517382","0","0","3309491","0"
"FAPP-cpupa","Thread","0","0","34","all","0","1","30014944","598079573","8633217","0","0","3621097","0","0","3334601","0"
"FAPP-cpupa","Thread","0","0","35","all","0","1","30032288","600609873","8713417","0","0","3870290","0","0","3432241","0"
"FAPP-cpupa","Thread","0","0","36","all","0","1","29987264","592715822","8704386","0","0","2485478","0","0","3344329","0"
"FAPP-cpupa","Thread","0","0","37","all","0","1","29993088","598738662","8663927","0","0","5854303","0","0","3311608","0"
"FAPP-cpupa","Thread","0","0","38","all","0","1","30029024","599459679","8663630","0","0","3250147","0","0","3382278","0"
"FAPP-cpupa","Thread","0","0","39","all","0","1","30050464","600973948","8609503","0","0","1917598","0","0","3278426","0"
"FAPP-cpupa","Thread","0","0","40","all","0","1","30062432","599023331","8723214","0","0","4282120","0","0","3340684","0"
"FAPP-cpupa","Thread","0","0","41","all","0","1","29983808","598517141","8630620","0","0","4028800","0","0","3277854","0"
"FAPP-cpupa","Thread","0","0","42","all","0","1","30037312","599610268","8683042","0","0","2479655","0","0","3375367","0"
"FAPP-cpupa","Thread","0","0","43","all","0","1","29978752","598452063","8736482","0","0","2771721","0","0","3429421","0"
"FAPP-cpupa","Thread","0","0","44","all","0","1","29981248","598492114","8677177","0","0","5429338","0","0","3341687","0"
"FAPP-cpupa","Thread","0","0","45","all","0","1","30029504","600554121","8601414","0","0","3751848","0","0","3282875","0"
"FAPP-cpupa","Thread","0","0","46","all","0","1","29993632","598730279","8672561","0","0","2865912","0","0","3270913","0"
"FAPP-cpupa","Thread","0","0","47","all","0","1","30009248","600149704","8735715","0","0","1968631","0","0","3351851","0"
"FAPP-cpupa","Process","0","0","-","kernel","1","40320","560827232","9858837104","393320426","0","0","133645253","0","0","56201607","0"
"FAPP-cpupa","Thread","0","0","0","kernel","1","840","11921824","211232696","8196433","0","0","4180662","0","0","1078223","0"
"FAPP-cpupa","Thread","0","0","1","kernel","1","840","11924416","211154552","8192536","0","0","1930868","0","0","1165313","0"
"FAPP-cpupa","Thread","0","0","2","kernel","1","840","11979360","212162200","8193946","0","0","2246847","0","0","1160922","0"
"FAPP-cpupa","Thread","0","0","3","kernel","1","840","11961568","212050624","8191533","0","0","2777989","0","0","1189917","0"
"FAPP-cpupa","Thread","0","0","4","kernel","1","840","11935936","211247067","8201257","0","0","4166327","0","0","1153724","0"
"FAPP-cpupa","Thread","0","0","5","kernel","1","840","12002592","212054268","8198290","0","0","1148613","0","0","1151241","0"
"FAPP-cpupa","Thread","0","0","6","kernel","1","840","11925472","211094098","8199201","0","0","2973393","0","0","1143942","0"
"FAPP-cpupa","Thread","0","0","7","kernel","1","840","11999584","212076346","8195870","0","0","2536523","0","0","1170253","0"
"FAPP-cpupa","Thread","0","0","8","kernel","1","840","11991008","211932332","8205091","0","0","3260371","0","0","1188823","0"
"FAPP-cpupa","Thread","0","0","9","kernel","1","840","12053312","212935164","8203368","0","0","2063305","0","0","1158567","0"
"FAPP-cpupa","Thread","0","0","10","kernel","1","840","12040384","212431000","8203687","0","0","1337421","0","0","1166066","0"
"FAPP-cpupa","Thread","0","0","11","kernel","1","840","11982976","212102008","8201946","0","0","4494242","0","0","1185421","0"
