"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:17:07 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-cpupa","Thread","0","0","28","all","0","1","30077024","601505149","35671781","26","0","12452891","12","0","35466475","81275"
"FAPP-cpupa","Thread","0","0","29","all","0","1","37437728","748644672","35673019","26","0","12455315","12","0","35467208","81462"
"FAPP-cpupa","Thread","0","0","30","all","0","1","30071680","601397675","35671776","26","0","12452891","12","0","35466475","81275"
"FAPP-cpupa","Thread","0","0","31","all","0","1","30113280","602172792","35671350","26","0","12452547","12","0","35466092","81283"
"FAPP-cpupa","Thread","0","0","32","all","0","1","30084672","601657967","35671786","26","0","12452898","12","0","35466478","81275"
"FAPP-cpupa","Thread","0","0","33","all","0","1","30143520","602831743","35671858","26","0","12453040","12","0","35466517","81291"
"FAPP-cpupa","Thread","0","0","34","all","0","1","30078880","601540801","35671782","26","0","12452894","12","0","35466477","81275"
"FAPP-cpupa","Thread","0","0","35","all","0","1","30097216","600838007","35670227","25","0","12451500","9","0","35465088","81247"
"FAPP-cpupa","Thread","0","0","36","all","0","1","30088512","586782684","35635153","0","0","12505176","0","0","35619997","4645"
"FAPP-cpupa","Thread","0","0","37","all","0","1","30072800","600246549","35581080","0","0","12489559","0","0","35565901","4588"
"FAPP-cpupa","Thread","0","0","38","all","0","1","30478240","609526590","35635478","0","0","12506857","0","0","35620254","4922"
"FAPP-cpupa","Thread","0","0","39","all","0","1","30065152","601188935","35634812","0","0","12504676","0","0","35619614","4891"
"FAPP-cpupa","Thread","0","0","40","all","0","1","30063552","601236731","35635195","0","0","12505369","0","0","35619990","4904"
"FAPP-cpupa","Thread","0","0","41","all","0","1","30095552","600803485","35634384","0","0","12504195","0","0","35619250","4835"
"FAPP-cpupa","Thread","0","0","42","all","0","1","30125120","602468437","35635232","0","0","12505620","0","0","35620025","4910"
"FAPP-cpupa","Thread","0","0","43","all","0","1","30101504","600913831","35581552","0","0","12490517","0","0","35566358","4618"
"FAPP-cpupa","Thread","0","0","44","all","0","1","30066464","601236677","35634809","0","0","12504882","0","0","35619617","4901"
"FAPP-cpupa","Thread","0","0","45","all","0","1","30108800","602139963","35635215","0","0","12505567","0","0","35620009","4906"
"FAPP-cpupa","Thread","0","0","46","all","0","1","30243712","603737903","35581505","0","0","12490710","0","0","35566316","4606"
"FAPP-cpupa","Thread","0","0","47","all","0","1","30075200","600388158","35581547","0","0","12490437","0","0","35566352","4619"
"FAPP-cpupa","Process","0","0","-","kernel","1","40320","563419520","9892342729","1266354746","6","0","276257903","0","0","1151743444","80195700"
"FAPP-cpupa","Thread","0","0","0","kernel","1","840","11926016","211127100","35936343","0","0","12981421","0","0","26341964","6658586"
"FAPP-cpupa","Thread","0","0","1","kernel","1","840","11937216","211244618","35923117","0","0","12980981","0","0","26334241","6659866"
"FAPP-cpupa","Thread","0","0","2","kernel","1","840","12008160","212219187","36007803","0","0","12978958","0","0","26377982","6652652"
"FAPP-cpupa","Thread","0","0","3","kernel","1","840","11994464","212200847","35981706","0","0","12977082","0","0","26357515","6654198"
"FAPP-cpupa","Thread","0","0","4","kernel","1","840","11956352","211463264","35960295","0","0","12977002","0","0","26348598","6655296"
"FAPP-cpupa","Thread","0","0","5","kernel","1","840","11951584","211401404","35933314","0","0","12965911","0","0","26319166","6658329"
"FAPP-cpupa","Thread","0","0","6","kernel","1","840","12000352","211664387","35967998","0","0","12963722","0","0","26330658","6638541"
"FAPP-cpupa","Thread","0","0","7","kernel","1","840","12052672","212408844","35964378","0","0","12934506","0","0","26292996","6607253"
"FAPP-cpupa","Thread","0","0","8","kernel","1","840","12021856","212221821","35835746","0","0","12910541","0","0","26199815","6587089"
"FAPP-cpupa","Thread","0","0","9","kernel","1","840","12086048","213178187","35845427","0","0","12896599","0","0","26180487","6574036"
"FAPP-cpupa","Thread","0","0","10","kernel","1","840","12013824","211995749","35851563","0","0","12911930","0","0","26211184","6590859"
"FAPP-cpupa","Thread","0","0","11","kernel","1","840","12137344","213385162","35437544","0","0","12777483","0","0","25786216","6482203"
"FAPP-cpupa","Thread","0","0","12","kernel","1","840","11574368","202526283","23132074","0","0","3314381","0","0","23170690","10208"
"FAPP-cpupa","Thread","0","0","13","kernel","1","840","11578592","202757000","23133322","0","0","3327131","0","0","23169318","10360"
"FAPP-cpupa","Thread","0","0","14","kernel","1","840","11575840","202615959","23137401","0","0","3326651","0","0","23170703","10351"
"FAPP-cpupa","Thread","0","0","15","kernel","1","840","11578048","202971954","23139159","0","0","3327166","0","0","23176831","10356"
"FAPP-cpupa","Thread","0","0","16","kernel","1","840","11592544","203391138","23138842","0","0","3321810","0","0","23176270","10266"
"FAPP-cpupa","Thread","0","0","17","kernel","1","840","11603104","203463044","23156084","0","0","3327212","0","0","23189492","10366"
"FAPP-cpupa","Thread","0","0","18","kernel","1","840","11602432","203451742","23173027","0","0","3314408","0","0","23203892","10209"
"FAPP-cpupa","Thread","0","0","19","kernel","1","840","11616480","203564814","23160604","0","0","3326723","0","0","23189289","10348"
"FAPP-cpupa","Thread","0","0","20","kernel","1","840","11622304","203444779","23133836","0","0","3313899","0","0","23143579","10206"
"FAPP-cpupa","Thread","0","0","21","kernel","1","840","11618144","203466629","23136510","0","0","3314001","0","0","23153050","10204"
"FAPP-cpupa","Thread","0","0","22","kernel","1","840","11644256","203687152","23139725","0","0","3326648","0","0","23152186","10369"
"FAPP-cpupa","Thread","0","0","23","kernel","1","840","11629664","203710160","23124568","0","0","3326520","0","0","23132050","10354"
"FAPP-cpupa","Thread","0","0","24","kernel","1","840","11656448","204238249","23223027","0","0","3396789","0","0","23238842","51644"
"FAPP-cpupa","Thread","0","0","25","kernel","1","840","11677408","204866178","23170222","3","0","3392012","0","0","23185016","51237"
"FAPP-cpupa","Thread","0","0","26","kernel","1","840","11669088","204656888","23162038","3","0","3391993","0","0","23177964","51213"
"FAPP-cpupa","Thread","0","0","27","kernel","1","840","11663776","204333216","23245167","0","0","3403952","0","0","23255233","51623"
"FAPP-cpupa","Thread","0","0","28","kernel","1","840","11655296","204291656","23246296","0","0","3405472","0","0","23256920","51610"
"FAPP-cpupa","Thread","0","0","29","kernel","1","840","11661152","204367545","23245086","0","0","3396902","0","0","23251214","51645"
"FAPP-cpupa","Thread","0","0","30","kernel","1","840","11665472","204577202","23238388","0","0","3399433","0","0","23251967","51647"
"FAPP-cpupa","Thread","0","0","31","kernel","1","840","11666240","204669006","23256201","0","0","3395829","0","0","23253740","51641"
