"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:17:00 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.886844","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091305","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123656","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x02b2","0x02b1","0x02b0","0x02b8","0x02b9","0x0260","0x0261","-"
"FAPP-cpupa","Thread","0","0","27","all","0","1","29902144","598007780","0","0","0","1362065763","1116986465","85188868","69840119","0"
"FAPP-cpupa","Thread","0","0","28","all","0","1","29922176","597329370","0","0","0","1360638353","1117685826","85097909","69885609","0"
"FAPP-cpupa","Thread","0","0","29","all","0","1","29919712","597272200","0","0","0","1363400525","1114315555","85276658","69668785","0"
"FAPP-cpupa","Thread","0","0","30","all","0","1","29925600","598476659","0","0","0","1360314648","1117240572","85082316","69853053","0"
"FAPP-cpupa","Thread","0","0","31","all","0","1","29907168","598107159","0","0","0","1360083829","1117363893","85068655","69860060","0"
"FAPP-cpupa","Thread","0","0","32","all","0","1","29885856","595520390","0","0","0","1360198074","1116957261","85064279","69846421","0"
"FAPP-cpupa","Thread","0","0","33","all","0","1","29888384","596636799","0","0","0","1359880116","1117419619","85045717","69873634","0"
"FAPP-cpupa","Thread","0","0","34","all","0","1","29933792","598640825","0","0","0","1359305598","1116521851","85010757","69816594","0"
"FAPP-cpupa","Thread","0","0","35","all","0","1","29890240","595585546","0","0","0","1358925671","1116563147","84987948","69818306","0"
"FAPP-cpupa","Thread","0","0","36","all","0","1","29903008","572971831","0","0","0","1366346536","1235685409","85452191","77263050","0"
"FAPP-cpupa","Thread","0","0","37","all","0","1","29930752","598579500","0","0","0","1362868234","1116628502","85240140","69816538","0"
"FAPP-cpupa","Thread","0","0","38","all","0","1","29880832","597582220","0","0","0","1360673751","1115557176","85102430","69750159","0"
"FAPP-cpupa","Thread","0","0","39","all","0","1","29953728","597952194","0","0","0","1360504487","1116480040","85096823","69802834","0"
"FAPP-cpupa","Thread","0","0","40","all","0","1","29876480","595332761","0","0","0","1362526050","1114346036","85217064","69675627","0"
"FAPP-cpupa","Thread","0","0","41","all","0","1","29905344","598072551","0","0","0","1362387355","1116173282","85206629","69791582","0"
"FAPP-cpupa","Thread","0","0","42","all","0","1","29900576","597976167","0","0","0","1360343857","1116118933","85083892","69783141","0"
"FAPP-cpupa","Thread","0","0","43","all","0","1","29871136","595217809","0","0","0","1361186190","1116165360","85138579","69784007","0"
"FAPP-cpupa","Thread","0","0","44","all","0","1","29940256","598770471","0","0","0","1360627529","1118372986","85100021","69925626","0"
"FAPP-cpupa","Thread","0","0","45","all","0","1","29873056","597368777","0","0","0","1362052737","1116162396","85185065","69791563","0"
"FAPP-cpupa","Thread","0","0","46","all","0","1","29883360","597546983","0","0","0","1361014210","1116507664","85124740","69808515","0"
"FAPP-cpupa","Thread","0","0","47","all","0","1","29963488","598143413","0","0","0","1359694794","1114675129","85034122","69702190","0"
"FAPP-cpupa","Process","0","0","-","kernel","1","40320","560171616","9844416104","0","0","0","52239503320","44334184808","3267692845","2772265098","0"
"FAPP-cpupa","Thread","0","0","0","kernel","1","840","11828736","209345762","0","0","0","1094104212","917841950","68433900","57392108","0"
"FAPP-cpupa","Thread","0","0","1","kernel","1","840","11875008","209670564","0","0","0","1091805096","920740400","68293976","57570241","0"
"FAPP-cpupa","Thread","0","0","2","kernel","1","840","11903296","210498692","0","0","0","1091398218","920639676","68270262","57562145","0"
"FAPP-cpupa","Thread","0","0","3","kernel","1","840","11894080","210442854","0","0","0","1091736168","920635496","68292275","57561098","0"
"FAPP-cpupa","Thread","0","0","4","kernel","1","840","11825440","209700924","0","0","0","1094597608","918204742","68467796","57412520","0"
"FAPP-cpupa","Thread","0","0","5","kernel","1","840","11940352","210912355","0","0","0","1090427044","921032042","68209519","57586806","0"
