"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:14 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.888921","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091581","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123928","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0190","0x0191","0x0184","0x0186","0x0189","0x018c","0x018d","0x018e"
"FAPP-cpupa","Thread","0","0","25","all","0","1","30130944","601482776","440954560","24029220","352606253","67880","11334397","70175532","0","49612352"
"FAPP-cpupa","Thread","0","0","26","all","0","1","30085920","600590281","439960095","24011968","353782539","40760","11534471","67675413","0","47501483"
"FAPP-cpupa","Thread","0","0","27","all","0","1","30390048","606675582","445504894","24187129","353638431","63922","11572286","73260204","0","53338154"
"FAPP-cpupa","Thread","0","0","28","all","0","1","30095648","601878267","441021757","24190773","352235287","111304","11603957","70209002","0","50374237"
"FAPP-cpupa","Thread","0","0","29","all","0","1","30359232","605992088","444925810","24187504","351364780","114883","11598729","74955569","0","54971817"
"FAPP-cpupa","Thread","0","0","30","all","0","1","30325120","605378288","444369046","24186971","352522604","82054","11557635","73236056","0","53285929"
"FAPP-cpupa","Thread","0","0","31","all","0","1","30322240","606409611","445862920","24133459","352028594","97926","11572258","75347200","0","55081088"
"FAPP-cpupa","Thread","0","0","32","all","0","1","30322880","606421467","445065080","24384530","355476563","223320","11720569","70843832","0","51200633"
"FAPP-cpupa","Thread","0","0","33","all","0","1","30096448","600800543","440397275","24028948","353015877","289704","11428396","69127588","0","48836847"
"FAPP-cpupa","Thread","0","0","34","all","0","1","30116832","602299747","440850341","24391209","352902751","170125","11750569","69067992","0","49432707"
"FAPP-cpupa","Thread","0","0","35","all","0","1","35132576","701529260","540983002","24126578","353380554","301138","11449227","169294412","0","148638163"
"FAPP-cpupa","Thread","0","0","36","all","0","1","30308640","591222968","410927496","27118910","359782267","196006","11474988","32500222","0","9785481"
"FAPP-cpupa","Thread","0","0","37","all","0","1","30098208","601874331","440686628","24236830","355626689","254521","11739490","66323637","0","46583079"
"FAPP-cpupa","Thread","0","0","38","all","0","1","30084160","600557978","439599307","24136055","356444102","176037","11584994","64539947","0","44834437"
"FAPP-cpupa","Thread","0","0","39","all","0","1","30452896","607930412","446646800","24164245","356441374","268392","11736090","71403654","0","52230868"
"FAPP-cpupa","Thread","0","0","40","all","0","1","30081312","601514019","440486489","24223637","351994131","127783","11706228","69769966","0","49999722"
"FAPP-cpupa","Thread","0","0","41","all","0","1","30327872","606449108","445588724","24214532","352470991","82271","11836377","74310244","0","54725805"
"FAPP-cpupa","Thread","0","0","42","all","0","1","30079648","601558387","440708292","24055723","352579465","86234","11667680","69469609","0","49727237"
"FAPP-cpupa","Thread","0","0","43","all","0","1","30168672","603280131","442019714","24311249","351011466","143948","11500535","72472648","0","52212351"
"FAPP-cpupa","Thread","0","0","44","all","0","1","30203424","604032875","442838155","24338642","351060481","171212","11596353","73109729","0","52751108"
"FAPP-cpupa","Thread","0","0","45","all","0","1","30110720","601091651","440281983","24161036","351233137","235659","11691048","70367324","0","50130250"
"FAPP-cpupa","Thread","0","0","46","all","0","1","30077568","601516749","441061028","23983896","352781115","123365","11926565","69497143","0","49316452"
"FAPP-cpupa","Thread","0","0","47","all","0","1","30118976","602343054","441870399","23921915","354339249","180255","11928358","68815263","0","49226708"
"FAPP-cpupa","Process","0","0","-","kernel","1","40320","564468192","9910284310","3493151002","687621797","3074678779","1305174","116769272","233844492","0","0"
"FAPP-cpupa","Thread","0","0","0","kernel","1","840","11925376","211094774","77622719","14175419","68614912","4486","2422654","5190017","0","0"
"FAPP-cpupa","Thread","0","0","1","kernel","1","840","11968128","211000862","77456565","14118556","68396838","1554","3313676","4284274","0","0"
"FAPP-cpupa","Thread","0","0","2","kernel","1","840","12010976","212217374","78694250","14141421","69777354","1691","3067074","4373578","0","0"
