"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:32 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.813222","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091471","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.124290","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0192","0x0193","0x0194","0x018b","0x80c6","0x80c4","0x80c7","0x80c5"
"FAPP-cpupa","Thread","0","0","26","all","0","1","37216128","744284066","23314722","13903914","99616220","2791390","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","27","all","0","1","30189312","603749840","23349030","13880456","99521894","2697558","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","28","all","0","1","30564928","610156606","23190601","13753533","99517528","2607668","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","29","all","0","1","30028480","600534605","23349089","13858228","99555829","2759597","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","30","all","0","1","30164160","603190475","22991100","13790588","99583398","2611756","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","31","all","0","1","30178752","603480434","23002067","13854070","99538311","2556107","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","32","all","0","1","30114912","602262303","23173822","13929424","99509578","2725434","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","33","all","0","1","30163648","603238073","23286094","13917121","99524012","2731921","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","34","all","0","1","30036832","599536242","23109416","13981599","99527941","2715247","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","35","all","0","1","30219392","603188312","23574464","13892327","99565151","2864283","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","36","all","0","1","30222560","598789095","23678822","34354140","102944250","2915126","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","37","all","0","1","30025056","599265093","22850945","13972163","99511282","2602563","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","38","all","0","1","30016480","600225506","23561587","13860408","99524159","3253237","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","39","all","0","1","30167840","602223758","23161440","13898725","99541246","2738682","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","40","all","0","1","30138848","601652847","23247765","13974337","99577071","2753539","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","41","all","0","1","30014048","600246013","23020985","13865692","99504611","2592898","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","42","all","0","1","30260256","605168821","22925397","13842745","99591296","2625045","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","43","all","0","1","30038976","600742781","23673980","13858580","99526989","3386458","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","44","all","0","1","30230016","604564861","23463584","13899692","99579487","2745752","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","45","all","0","1","30005472","600072937","23481511","13983897","99569769","2828223","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","46","all","0","1","30053120","599890804","23525488","13985594","99635195","2887822","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","47","all","0","1","30026240","600488792","23099028","13946688","99494286","2663443","0","2028257280","33600","0"
"FAPP-cpupa","Process","0","0","-","kernel","1","40320","561387680","9851638233","751401579","527896238","4462089071","35499027","0","97356349440","0","0"
"FAPP-cpupa","Thread","0","0","0","kernel","1","840","11898528","210781838","15520064","10886028","93062869","698865","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","1","kernel","1","840","11955040","211434828","15664324","10616552","93258491","699967","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","2","kernel","1","840","11999200","211986227","15575441","10659137","93253392","684373","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","3","kernel","1","840","11955296","211640799","15643602","10728878","93195985","749537","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","4","kernel","1","840","11964576","211100447","15669537","10819052","93121572","752628","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","5","kernel","1","840","12009152","211300214","15660400","10848399","93211118","765144","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","6","kernel","1","840","12000672","211418836","15607989","10786005","93185881","747737","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","7","kernel","1","840","12015136","211897378","15640896","10795230","93140455","728262","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","8","kernel","1","840","11985760","211795782","15550840","10828578","93127677","714937","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","9","kernel","1","840","12056000","213228260","15705021","10754944","93164678","750960","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","10","kernel","1","840","12007904","212150436","15574188","10785747","93161752","716733","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","11","kernel","1","840","12070624","213205990","15640185","10783302","93173683","739136","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","12","kernel","1","840","11508832","201809475","15597426","11135508","92834855","717224","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","13","kernel","1","840","11546688","202290808","15789328","11071978","92902517","780443","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","14","kernel","1","840","11549952","202037029","15689235","11003551","92978177","750799","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","15","kernel","1","840","11526688","201789858","15725287","11057925","92905469","760295","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","16","kernel","1","840","11530976","202104590","15674227","11101397","92853948","752262","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","17","kernel","1","840","11579360","202876099","15762865","11042641","92893484","778868","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","18","kernel","1","840","11565184","202199873","15670630","11053426","92958907","764128","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","19","kernel","1","840","11564448","202741258","15570999","11098301","92869163","705082","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","20","kernel","1","840","11546848","201982739","15651310","11166091","92845841","763464","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","21","kernel","1","840","11559840","202188676","15610789","11101333","92841600","708282","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","22","kernel","1","840","11619808","202977449","15586292","11040405","92926091","711012","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","23","kernel","1","840","11604480","202441608","15730773","11090984","92865201","753432","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","24","kernel","1","840","11584896","202972910","15662891","11029750","92912148","732284","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","25","kernel","1","840","11600416","203287064","15703374","11033356","92920747","750154","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","26","kernel","1","840","11575712","202842234","15654211","11099237","92905141","750894","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","27","kernel","1","840","11596544","203128638","15676132","11072465","92880181","729281","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","28","kernel","1","840","11589408","202822749","15653364","11007160","92886426","699485","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","29","kernel","1","840","11589248","203114190","15716295","11079145","92860380","742144","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","30","kernel","1","840","11599008","203386004","15587514","11016019","92924267","701080","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","31","kernel","1","840","11594944","203319152","15607141","11062412","92874785","684708","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","32","kernel","1","840","11591424","202868823","15627523","11090889","92865321","718723","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","33","kernel","1","840","11636672","203777894","15709629","11056552","92869959","742281","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","34","kernel","1","840","11597088","203276875","15558831","11173800","92848513","733289","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","35","kernel","1","840","11651424","203883463","15769146","11065882","92870059","766620","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","36","kernel","1","840","11604288","202924523","15706156","11016138","92947268","745307","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","37","kernel","1","840","11577792","202950846","15521289","11182332","92818296","689468","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","38","kernel","1","840","11617408","202925548","15717203","11032157","92921055","864175","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","39","kernel","1","840","11600320","203464730","15613358","11104840","92871289","734740","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","40","kernel","1","840","11625152","203867084","15667140","11086545","92884142","749838","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","41","kernel","1","840","11634304","203968242","15619297","11073547","92853113","708771","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","42","kernel","1","840","11638208","204161937","15567737","11035462","92927742","704287","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","43","kernel","1","840","11663968","203810919","15780815","11036889","92900474","880561","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","44","kernel","1","840","11632544","203718212","15679732","11075347","92899106","730051","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","45","kernel","1","840","11640864","203895896","15717914","11112132","92880014","760308","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","46","kernel","1","840","11681376","204274399","15742360","11032118","92954245","772332","0","2028257280","0","0"
"FAPP-cpupa","Thread","0","0","47","kernel","1","840","11643680","203615404","15630879","11066672","92881594","714676","0","2028257280","0","0"
"FAPP-cpupa","Process","0","0","-","packB","1","40320","724141824","13137193222","174849228","141009748","242958426","28324808","0","0","0","0"
"FAPP-cpupa","Thread","0","0","0","packB","1","840","15008704","273574502","3695308","68774690","5146355","762905","0","0","0","0"
"FAPP-cpupa","Thread","0","0","1","packB","1","840","15043200","273836703","3446521","1126462","5159895","549915","0","0","0","0"
"FAPP-cpupa","Thread","0","0","2","packB","1","840","15015680","273171017","3481170","1111031","5134908","540248","0","0","0","0"
"FAPP-cpupa","Thread","0","0","3","packB","1","840","14998656","272962849","3540158","1124437","5144146","580750","0","0","0","0"
"FAPP-cpupa","Thread","0","0","4","packB","1","840","15002368","272612361","3537940","1128417","5164905","597016","0","0","0","0"
"FAPP-cpupa","Thread","0","0","5","packB","1","840","14992352","271612216","3634357","1157502","5190739","601332","0","0","0","0"
"FAPP-cpupa","Thread","0","0","6","packB","1","840","14969248","271478814","3558929","1098364","5167574","597121","0","0","0","0"
"FAPP-cpupa","Thread","0","0","7","packB","1","840","14988928","272334827","3593024","1096926","5136490","581143","0","0","0","0"
"FAPP-cpupa","Thread","0","0","8","packB","1","840","15007648","272662234","3491895","1110596","5150785","555391","0","0","0","0"
"FAPP-cpupa","Thread","0","0","9","packB","1","840","14974304","272083185","3572199","1110264","5151700","592872","0","0","0","0"
