"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:42 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-cpupa","Thread","0","0","29","all","0","1","30118656","602338859","72814","4620","0","0","0","10936","16800","15749326"
"FAPP-cpupa","Thread","0","0","30","all","0","1","30239104","603631143","72814","4620","0","0","0","10936","16800","15242563"
"FAPP-cpupa","Thread","0","0","31","all","0","1","30220224","603288915","72814","4620","0","0","0","10936","16800","15292609"
"FAPP-cpupa","Thread","0","0","32","all","0","1","30316768","606298387","72814","4620","0","0","0","10936","16800","15603844"
"FAPP-cpupa","Thread","0","0","33","all","0","1","30264096","605246633","72814","4620","0","0","0","10936","16800","15376273"
"FAPP-cpupa","Thread","0","0","34","all","0","1","30130272","601491166","72814","4620","0","0","0","10936","16800","15467389"
"FAPP-cpupa","Thread","0","0","35","all","0","1","30126400","601411162","72814","4620","0","0","0","10936","16800","15735961"
"FAPP-cpupa","Thread","0","0","36","all","0","1","30123392","595418074","72814","4620","0","0","0","133817","16800","42811172"
"FAPP-cpupa","Thread","0","0","37","all","0","1","30260128","605166554","72814","4620","0","0","0","10936","16800","15274789"
"FAPP-cpupa","Thread","0","0","38","all","0","1","30296032","605826116","72814","4620","0","0","0","10936","16800","15359630"
"FAPP-cpupa","Thread","0","0","39","all","0","1","30275040","604346690","72814","4620","0","0","0","10936","16800","15507267"
"FAPP-cpupa","Thread","0","0","40","all","0","1","30154528","603056033","72814","4620","0","0","0","10936","16800","15818439"
"FAPP-cpupa","Thread","0","0","41","all","0","1","30222560","602240703","72814","4620","0","0","0","10936","16800","15376613"
"FAPP-cpupa","Thread","0","0","42","all","0","1","30372256","606328691","72814","4620","0","0","0","10936","16800","15547831"
"FAPP-cpupa","Thread","0","0","43","all","0","1","30117728","602317939","72814","4620","0","0","0","10936","16800","15731664"
"FAPP-cpupa","Thread","0","0","44","all","0","1","30270112","604274235","72814","4620","0","0","0","10936","16800","15389109"
"FAPP-cpupa","Thread","0","0","45","all","0","1","30218816","604340277","72814","4620","0","0","0","10936","16800","15409831"
"FAPP-cpupa","Thread","0","0","46","all","0","1","30243072","603738036","72814","4620","0","0","0","10936","16800","15215151"
"FAPP-cpupa","Thread","0","0","47","all","0","1","30347104","605768481","72814","4620","0","0","0","10936","16800","15588287"
"FAPP-cpupa","Process","0","0","-","kernel","1","40320","563243936","9889046400","2257920","201600","0","0","0","322560","0","359411450"
"FAPP-cpupa","Thread","0","0","0","kernel","1","840","11943904","211394322","47040","4200","0","0","0","6720","0","7368329"
"FAPP-cpupa","Thread","0","0","1","kernel","1","840","11979744","211578416","47040","4200","0","0","0","6720","0","7575939"
"FAPP-cpupa","Thread","0","0","2","kernel","1","840","12012064","212722626","47040","4200","0","0","0","6720","0","7423037"
"FAPP-cpupa","Thread","0","0","3","kernel","1","840","12031040","212659205","47040","4200","0","0","0","6720","0","7558189"
"FAPP-cpupa","Thread","0","0","4","kernel","1","840","11947264","211206936","47040","4200","0","0","0","6720","0","7472584"
"FAPP-cpupa","Thread","0","0","5","kernel","1","840","12054208","212644230","47040","4200","0","0","0","6720","0","7534635"
"FAPP-cpupa","Thread","0","0","6","kernel","1","840","11975776","211857907","47040","4200","0","0","0","6720","0","7442117"
"FAPP-cpupa","Thread","0","0","7","kernel","1","840","12064128","212566311","47040","4200","0","0","0","6720","0","7605896"
"FAPP-cpupa","Thread","0","0","8","kernel","1","840","12033920","212374108","47040","4200","0","0","0","6720","0","7409371"
"FAPP-cpupa","Thread","0","0","9","kernel","1","840","12066496","213113325","47040","4200","0","0","0","6720","0","7485983"
"FAPP-cpupa","Thread","0","0","10","kernel","1","840","12104544","213043272","47040","4200","0","0","0","6720","0","7492500"
"FAPP-cpupa","Thread","0","0","11","kernel","1","840","12087808","213526814","47040","4200","0","0","0","6720","0","7470718"
"FAPP-cpupa","Thread","0","0","12","kernel","1","840","11547776","202730193","47040","4200","0","0","0","6720","0","7415986"
"FAPP-cpupa","Thread","0","0","13","kernel","1","840","11545856","202447568","47040","4200","0","0","0","6720","0","7504260"
"FAPP-cpupa","Thread","0","0","14","kernel","1","840","11536096","201898242","47040","4200","0","0","0","6720","0","7521054"
"FAPP-cpupa","Thread","0","0","15","kernel","1","840","11556064","202586300","47040","4200","0","0","0","6720","0","7419437"
"FAPP-cpupa","Thread","0","0","16","kernel","1","840","11592992","202911766","47040","4200","0","0","0","6720","0","7530277"
"FAPP-cpupa","Thread","0","0","17","kernel","1","840","11553120","202309320","47040","4200","0","0","0","6720","0","7543717"
"FAPP-cpupa","Thread","0","0","18","kernel","1","840","11579456","202966334","47040","4200","0","0","0","6720","0","7523626"
"FAPP-cpupa","Thread","0","0","19","kernel","1","840","11571776","202785387","47040","4200","0","0","0","6720","0","7489960"
"FAPP-cpupa","Thread","0","0","20","kernel","1","840","11562784","202731894","47040","4200","0","0","0","6720","0","7399243"
"FAPP-cpupa","Thread","0","0","21","kernel","1","840","11582144","202751386","47040","4200","0","0","0","6720","0","7446507"
"FAPP-cpupa","Thread","0","0","22","kernel","1","840","11596672","202864680","47040","4200","0","0","0","6720","0","7526931"
"FAPP-cpupa","Thread","0","0","23","kernel","1","840","11609824","203098850","47040","4200","0","0","0","6720","0","7447134"
"FAPP-cpupa","Thread","0","0","24","kernel","1","840","11637952","203998056","47040","4200","0","0","0","6720","0","7550443"
"FAPP-cpupa","Thread","0","0","25","kernel","1","840","11635232","204022091","47040","4200","0","0","0","6720","0","7439751"
"FAPP-cpupa","Thread","0","0","26","kernel","1","840","11658368","204125727","47040","4200","0","0","0","6720","0","7538892"
"FAPP-cpupa","Thread","0","0","27","kernel","1","840","11650752","204096461","47040","4200","0","0","0","6720","0","7553769"
"FAPP-cpupa","Thread","0","0","28","kernel","1","840","11633152","203721622","47040","4200","0","0","0","6720","0","7432999"
"FAPP-cpupa","Thread","0","0","29","kernel","1","840","11643328","203821456","47040","4200","0","0","0","6720","0","7551503"
"FAPP-cpupa","Thread","0","0","30","kernel","1","840","11672384","204499066","47040","4200","0","0","0","6720","0","7424644"
"FAPP-cpupa","Thread","0","0","31","kernel","1","840","11668576","204077502","47040","4200","0","0","0","6720","0","7437310"
"FAPP-cpupa","Thread","0","0","32","kernel","1","840","11677376","203985666","47040","4200","0","0","0","6720","0","7514743"
"FAPP-cpupa","Thread","0","0","33","kernel","1","840","11643776","204024654","47040","4200","0","0","0","6720","0","7458201"
"FAPP-cpupa","Thread","0","0","34","kernel","1","840","11675456","204654937","47040","4200","0","0","0","6720","0","7480669"
"FAPP-cpupa","Thread","0","0","35","kernel","1","840","11680992","204513869","47040","4200","0","0","0","6720","0","7547969"
"FAPP-cpupa","Thread","0","0","36","kernel","1","840","11676544","204829662","47040","4200","0","0","0","6720","0","7564858"
"FAPP-cpupa","Thread","0","0","37","kernel","1","840","11678400","205067632","47040","4200","0","0","0","6720","0","7433002"
"FAPP-cpupa","Thread","0","0","38","kernel","1","840","11672736","204772674","47040","4200","0","0","0","6720","0","7453857"
"FAPP-cpupa","Thread","0","0","39","kernel","1","840","11677728","204900810","47040","4200","0","0","0","6720","0","7490912"
"FAPP-cpupa","Thread","0","0","40","kernel","1","840","11683296","204810786","47040","4200","0","0","0","6720","0","7568046"
"FAPP-cpupa","Thread","0","0","41","kernel","1","840","11686176","205005231","47040","4200","0","0","0","6720","0","7458009"
"FAPP-cpupa","Thread","0","0","42","kernel","1","840","11677504","204917473","47040","4200","0","0","0","6720","0","7501109"
"FAPP-cpupa","Thread","0","0","43","kernel","1","840","11700800","204958796","47040","4200","0","0","0","6720","0","7547063"
"FAPP-cpupa","Thread","0","0","44","kernel","1","840","11676832","204814573","47040","4200","0","0","0","6720","0","7460753"
"FAPP-cpupa","Thread","0","0","45","kernel","1","840","11700800","205136430","47040","4200","0","0","0","6720","0","7466724"
"FAPP-cpupa","Thread","0","0","46","kernel","1","840","11695520","204857900","47040","4200","0","0","0","6720","0","7417758"
"FAPP-cpupa","Thread","0","0","47","kernel","1","840","11704800","204663934","47040","4200","0","0","0","6720","0","7511036"
"FAPP-cpupa","Process","0","0","-","packB","1","40320","727489056","13201317779","987840","0","0","0","0","161280","0","240653633"
"FAPP-cpupa","Thread","0","0","0","packB","1","840","14975584","272613865","20580","0","0","0","0","3360","0","71350450"
"FAPP-cpupa","Thread","0","0","1","packB","1","840","15098144","274327759","20580","0","0","0","0","3360","0","3303928"
"FAPP-cpupa","Thread","0","0","2","packB","1","840","15013312","273381708","20580","0","0","0","0","3360","0","3150923"
"FAPP-cpupa","Thread","0","0","3","packB","1","840","15035680","273109550","20580","0","0","0","0","3360","0","3286355"
"FAPP-cpupa","Thread","0","0","4","packB","1","840","15046656","273752285","20580","0","0","0","0","3360","0","3203735"
"FAPP-cpupa","Thread","0","0","5","packB","1","840","15058848","273248430","20580","0","0","0","0","3360","0","3262482"
"FAPP-cpupa","Thread","0","0","6","packB","1","840","15076864","274280651","20580","0","0","0","0","3360","0","3170276"
"FAPP-cpupa","Thread","0","0","7","packB","1","840","15056768","273185102","20580","0","0","0","0","3360","0","3333595"
"FAPP-cpupa","Thread","0","0","8","packB","1","840","15081184","273751941","20580","0","0","0","0","3360","0","3140241"
"FAPP-cpupa","Thread","0","0","9","packB","1","840","15069664","273414884","20580","0","0","0","0","3360","0","3213566"
"FAPP-cpupa","Thread","0","0","10","packB","1","840","15024960","272166358","20580","0","0","0","0","3360","0","3220207"
"FAPP-cpupa","Thread","0","0","11","packB","1","840","15052128","273260243","20580","0","0","0","0","3360","0","3198263"
"FAPP-cpupa","Thread","0","0","12","packB","1","840","15218784","277265772","20580","0","0","0","0","3360","0","14746487"
"FAPP-cpupa","Thread","0","0","13","packB","1","840","15209888","276847463","20580","0","0","0","0","3360","0","3231644"
"FAPP-cpupa","Thread","0","0","14","packB","1","840","15217888","276528005","20580","0","0","0","0","3360","0","3248340"
"FAPP-cpupa","Thread","0","0","15","packB","1","840","15226400","276949878","20580","0","0","0","0","3360","0","3146725"
"FAPP-cpupa","Thread","0","0","16","packB","1","840","15230976","276651946","20580","0","0","0","0","3360","0","3245342"
