"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:10 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.893105","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.092736","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123236","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x80c0","0x80c1","0x0017","0x0018","0x0325","0x0326","0x0121","0x8000"
"FAPP-cpupa","Thread","0","0","25","all","0","1","30052928","599936014","2028257280","33600","5835401","1358569","290468","216910","510285565","380465660"
"FAPP-cpupa","Thread","0","0","26","all","0","1","30059520","601157268","2028257280","33600","4716039","1139704","265332","207399","510073914","380465660"
"FAPP-cpupa","Thread","0","0","27","all","0","1","30062976","600138747","2028257280","33600","4747048","1298626","278077","208922","511590185","380465660"
"FAPP-cpupa","Thread","0","0","28","all","0","1","30335520","604505095","2028257280","33600","6080558","1430402","267835","202864","510976403","380465870"
"FAPP-cpupa","Thread","0","0","29","all","0","1","30067136","601308579","2028257280","33600","4580054","1179299","255162","204688","509780540","380465660"
"FAPP-cpupa","Thread","0","0","30","all","0","1","30140096","602765399","2028257280","33600","3253498","871456","225084","182164","511747829","380465660"
"FAPP-cpupa","Thread","0","0","31","all","0","1","30085760","601680091","2028257280","33600","5343496","1207659","276598","213340","510208223","380465660"
"FAPP-cpupa","Thread","0","0","32","all","0","1","30074112","600348103","2028257280","33600","5167635","1318106","250398","203702","509989483","380465870"
"FAPP-cpupa","Thread","0","0","33","all","0","1","30085120","599493905","2028257280","33600","3977705","1172081","248912","190024","510187735","380465660"
"FAPP-cpupa","Thread","0","0","34","all","0","1","30084192","601648349","2028257280","33600","6700397","1571288","300242","205529","510097445","380465660"
"FAPP-cpupa","Thread","0","0","35","all","0","1","30061088","600099082","2028257280","33600","3807642","1118207","248406","193132","511021044","380465660"
"FAPP-cpupa","Thread","0","0","36","all","0","1","30064512","586303409","2028257280","33600","5743911","1464292","286587","235339","564868279","380465870"
"FAPP-cpupa","Thread","0","0","37","all","0","1","30141696","602799156","2028257280","33600","3652058","1051165","246517","217781","510502105","380465660"
"FAPP-cpupa","Thread","0","0","38","all","0","1","30062272","598997004","2028257280","33600","6771681","1490843","284007","239078","511620457","380465660"
"FAPP-cpupa","Thread","0","0","39","all","0","1","30090880","601783088","2028257280","33600","3635145","1068008","257333","218900","511042565","380465660"
"FAPP-cpupa","Thread","0","0","40","all","0","1","30086720","600607396","2028257280","33600","6060150","1362720","277730","228422","509676527","380465870"
"FAPP-cpupa","Thread","0","0","41","all","0","1","30296064","605822436","2028257280","33600","5051354","1256223","253601","206129","510012997","380465660"
"FAPP-cpupa","Thread","0","0","42","all","0","1","30103296","600947289","2028257280","33600","4500146","1076359","258546","213940","509801855","380465660"
"FAPP-cpupa","Thread","0","0","43","all","0","1","30073152","600276625","2028257280","33600","3759778","974944","251706","209843","510139485","380465660"
"FAPP-cpupa","Thread","0","0","44","all","0","1","30259328","605150651","2028257280","33600","3894222","1081645","234831","198413","510545015","380465870"
"FAPP-cpupa","Thread","0","0","45","all","0","1","30235936","603580614","2028257280","33600","6065872","1562104","275256","211327","511058758","380465660"
"FAPP-cpupa","Thread","0","0","46","all","0","1","30089056","600590302","2028257280","33600","3787639","1086401","238885","193797","510284335","380465660"
"FAPP-cpupa","Thread","0","0","47","all","0","1","30074912","600372406","2028257280","33600","5881232","1400803","264686","218071","510750869","380465660"
"FAPP-cpupa","Process","0","0","-","kernel","1","40320","564650912","9912350745","97356349440","0","112713640","22246949","3409784","1529821","21621924265","17882182080"
"FAPP-cpupa","Thread","0","0","0","kernel","1","840","11995936","212327083","2028257280","0","3234342","702282","121979","55246","450133329","372545460"
"FAPP-cpupa","Thread","0","0","1","kernel","1","840","12020000","212521470","2028257280","0","3373583","559641","139548","39008","450352849","372545460"
