"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:39 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.954251","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091603","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123728","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0049","0x0202","0x0059","0x0302","0x0005","0x002d","0x0001","0x0326"
"FAPP-cpupa","Thread","0","0","26","all","0","1","30024256","599315596","9457178","8585352","3160012","3122594","692985","34","488019","218503"
"FAPP-cpupa","Thread","0","0","27","all","0","1","30184800","603660342","9451309","8539079","4248669","4142497","690532","30","484640","219108"
"FAPP-cpupa","Thread","0","0","28","all","0","1","30074240","601449573","9457640","8637442","2313847","2279125","687892","31","488780","189651"
"FAPP-cpupa","Thread","0","0","29","all","0","1","30211584","602014121","9433503","8522566","2062777","2023795","680107","40","482839","200445"
"FAPP-cpupa","Thread","0","0","30","all","0","1","30274112","603267262","9439411","8570284","2629573","2592946","766598","35","488823","197782"
"FAPP-cpupa","Thread","0","0","31","all","0","1","30023360","600433759","9456207","8629564","6077975","5972114","698682","34","485996","218247"
"FAPP-cpupa","Thread","0","0","32","all","0","1","30039872","598580809","9445297","8576548","2372600","2336132","691618","33","489285","192222"
"FAPP-cpupa","Thread","0","0","33","all","0","1","30121568","601310328","9412001","8488271","2333257","2299694","715146","33","482667","192094"
"FAPP-cpupa","Thread","0","0","34","all","0","1","30042592","600817155","9436756","8550336","4839388","4800459","679250","31","480629","205432"
"FAPP-cpupa","Thread","0","0","35","all","0","1","38522720","770415717","9429100","8620821","3731713","3626543","696079","36","494567","194208"
"FAPP-cpupa","Thread","0","0","36","all","0","1","30015296","585431850","9449763","8612475","2193529","2156862","698285","569","493908","223117"
"FAPP-cpupa","Thread","0","0","37","all","0","1","30174944","602334128","9440606","8569220","2244858","2206882","686272","38","485969","227543"
"FAPP-cpupa","Thread","0","0","38","all","0","1","30259616","605154516","9452532","8579703","2820508","2784975","667681","31","487293","233811"
"FAPP-cpupa","Thread","0","0","39","all","0","1","30105312","600985680","9430615","8500525","5851979","5744728","692733","32","487795","233203"
"FAPP-cpupa","Thread","0","0","40","all","0","1","30118816","600156562","9443262","8609735","2949751","2911113","704462","40","487642","204964"
"FAPP-cpupa","Thread","0","0","41","all","0","1","30221344","604390027","9435599","8519710","2671302","2630526","684574","35","492305","207113"
"FAPP-cpupa","Thread","0","0","42","all","0","1","30149056","602944483","9458654","8590654","2487709","2450692","686307","33","485085","211479"
"FAPP-cpupa","Thread","0","0","43","all","0","1","30179328","603550963","9446570","8608568","5000368","4893861","704775","37","490788","221620"
"FAPP-cpupa","Thread","0","0","44","all","0","1","30064128","600131851","9453057","8574487","4625297","4587975","696474","32","486669","214271"
"FAPP-cpupa","Thread","0","0","45","all","0","1","30102528","602014015","9423393","8493853","2686057","2644579","685338","35","486042","209843"
"FAPP-cpupa","Thread","0","0","46","all","0","1","30027584","599422288","9466208","8575355","2952809","2914214","687792","32","483914","203171"
"FAPP-cpupa","Thread","0","0","47","all","0","1","30246272","604888226","9455089","8631758","3047006","2940775","687827","33","483574","216745"
"FAPP-cpupa","Process","0","0","-","kernel","1","40320","562944640","9878775590","401991337","391755094","105237401","105278951","6978801","107","5867957","1504548"
"FAPP-cpupa","Thread","0","0","0","kernel","1","840","11899072","210632473","8404038","8170603","4602847","4603205","147156","2","122526","41856"
"FAPP-cpupa","Thread","0","0","1","kernel","1","840","11947520","211439812","8401094","8168204","1945225","1946620","144940","3","121333","34830"
"FAPP-cpupa","Thread","0","0","2","kernel","1","840","12011680","212122497","8402384","8171301","1349571","1351217","145197","2","122959","32681"
"FAPP-cpupa","Thread","0","0","3","kernel","1","840","11990400","211309362","8395241","8164403","867473","867855","141157","2","123129","31857"
