"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:17:03 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.858072","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.092290","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123734","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0309","0x0396","0x0370","0x0121","0x0318","0x0319","0x031a","0x031b"
"FAPP-cpupa","Thread","0","0","25","all","0","1","30187456","602597245","58550237","3148597","2399985","511105241","3228970","576180","12696425","421673"
"FAPP-cpupa","Thread","0","0","26","all","0","1","30232960","603541127","58550905","3148612","2400003","509913291","3229278","576401","12696430","421829"
"FAPP-cpupa","Thread","0","0","27","all","0","1","30075680","600336091","58486703","3146928","2399241","511284738","3225651","575027","12683280","420610"
"FAPP-cpupa","Thread","0","0","28","all","0","1","36679904","733559409","58561776","3148780","2400800","511319993","3231490","579293","12698906","423120"
"FAPP-cpupa","Thread","0","0","29","all","0","1","30067328","601310859","58551948","3148680","2400240","510255692","3228677","576233","12697738","421323"
"FAPP-cpupa","Thread","0","0","30","all","0","1","30217888","603238823","58489722","3147026","2399459","511403599","3226673","575572","12683935","421519"
"FAPP-cpupa","Thread","0","0","31","all","0","1","30148736","602881560","58552128","3148651","2400160","510285514","3228975","576389","12697272","421564"
"FAPP-cpupa","Thread","0","0","32","all","0","1","30328448","606533647","58556197","3148757","2400408","511654897","3230441","577270","12698023","422611"
"FAPP-cpupa","Thread","0","0","33","all","0","1","30066592","601297283","58551940","3148680","2400239","510613897","3228674","576232","12697738","421323"
"FAPP-cpupa","Thread","0","0","34","all","0","1","30112832","602218957","58552546","3148695","2400268","510588176","3228909","576381","12697761","421541"
"FAPP-cpupa","Thread","0","0","35","all","0","1","30086400","600611044","58548823","3148571","2399931","511591677","3228396","575907","12696397","421082"
"FAPP-cpupa","Thread","0","0","36","all","0","1","30163552","579370656","58721050","3113392","2494794","542538861","3086290","26804","382288","12259105"
"FAPP-cpupa","Thread","0","0","37","all","0","1","30074784","600369227","58717755","3113241","2494460","509806810","3085575","26744","382410","12258745"
"FAPP-cpupa","Thread","0","0","38","all","0","1","30083936","600505965","58656371","3111668","2493839","510732455","3083848","26772","381964","12244877"
"FAPP-cpupa","Thread","0","0","39","all","0","1","30080640","601578628","58719692","3113359","2494742","511413001","3085803","26848","382576","12259888"
"FAPP-cpupa","Thread","0","0","40","all","0","1","30287616","605715613","58723460","3113434","2494891","511412444","3087231","27710","383314","12260015"
"FAPP-cpupa","Thread","0","0","41","all","0","1","30090624","600687719","58718040","3113251","2494484","511762405","3085647","26784","382456","12258783"
"FAPP-cpupa","Thread","0","0","42","all","0","1","30073056","600322281","58656358","3111669","2493855","509548028","3083825","26750","381945","12244877"
"FAPP-cpupa","Thread","0","0","43","all","0","1","30210112","601987311","58656860","3111608","2493709","510568468","3084465","27122","382205","12243918"
"FAPP-cpupa","Thread","0","0","44","all","0","1","30250112","603874501","58720527","3113292","2494581","510073738","3086672","27311","382943","12258846"
"FAPP-cpupa","Thread","0","0","45","all","0","1","30285440","605672631","58723370","3113430","2494887","510009032","3087208","27686","383305","12260012"
"FAPP-cpupa","Thread","0","0","46","all","0","1","30257632","605115993","58722529","3113414","2494859","509687543","3086921","27424","383144","12259991"
"FAPP-cpupa","Thread","0","0","47","all","0","1","30081312","600460016","58656421","3111667","2493858","509657246","3083838","26767","381951","12244915"
"FAPP-cpupa","Process","0","0","-","kernel","1","40320","564498304","9909940085","1347083892","40118939","17521138","21620741712","245410299","85560761","89760558","83148798"
"FAPP-cpupa","Thread","0","0","0","kernel","1","840","11968800","211749126","28299143","1138192","356500","450131360","12930139","3478573","3446292","3483643"
"FAPP-cpupa","Thread","0","0","1","kernel","1","840","11986112","212105918","28308560","1138806","359148","450251207","12936455","3484559","3452576","3488820"
"FAPP-cpupa","Thread","0","0","2","kernel","1","840","12048352","212760448","28342949","1140286","367743","450383236","12915790","3479067","3458786","3491531"
"FAPP-cpupa","Thread","0","0","3","kernel","1","840","12029440","212776768","28329927","1139863","368050","450374294","12913795","3480671","3457792","3490367"
"FAPP-cpupa","Thread","0","0","4","kernel","1","840","11974592","211750492","28319235","1139728","360497","450242414","12936772","3485111","3454310","3490070"
"FAPP-cpupa","Thread","0","0","5","kernel","1","840","12056928","212906624","28329938","1138003","373777","450318829","12892646","3468843","3462403","3491778"
"FAPP-cpupa","Thread","0","0","6","kernel","1","840","12019328","212180148","28311013","1138361","364662","450458195","12914104","3477138","3458945","3491110"
"FAPP-cpupa","Thread","0","0","7","kernel","1","840","12059616","212783119","28358037","1140323","372871","450290811","12909493","3476549","3469781","3499309"
"FAPP-cpupa","Thread","0","0","8","kernel","1","840","12091104","213079191","28246401","1134374","373608","450360949","12855000","3451499","3468970","3492620"
"FAPP-cpupa","Thread","0","0","9","kernel","1","840","12136544","214389960","28369458","1141362","380946","450473324","12898054","3472617","3475613","3505007"
"FAPP-cpupa","Thread","0","0","10","kernel","1","840","12100704","213043554","28063049","1126051","369604","450541181","12793514","3423327","3465124","3481743"
"FAPP-cpupa","Thread","0","0","11","kernel","1","840","12062016","213300066","28355204","1140257","375426","450263240","12913620","3479525","3470685","3499515"
"FAPP-cpupa","Thread","0","0","12","kernel","1","840","11599232","203509343","27981525","748478","324495","450429401","2507094","3240701","162884","23513"
"FAPP-cpupa","Thread","0","0","13","kernel","1","840","11603552","203658124","28026358","750991","326381","450439140","2509553","3249102","162981","23921"
"FAPP-cpupa","Thread","0","0","14","kernel","1","840","11593216","203220208","28015718","750033","326890","450392228","2507696","3249036","162695","23798"
"FAPP-cpupa","Thread","0","0","15","kernel","1","840","11574880","203017638","28011307","750804","327228","450346251","2507723","3253653","162719","23991"
"FAPP-cpupa","Thread","0","0","16","kernel","1","840","11622080","203839238","28036941","751428","332181","450287687","2508759","3249523","162762","24084"
"FAPP-cpupa","Thread","0","0","17","kernel","1","840","11598848","203262423","27975303","747772","319818","450638381","2504403","3240691","162614","23408"
"FAPP-cpupa","Thread","0","0","18","kernel","1","840","11583232","202922552","28033098","751113","331988","450309208","2508114","3248936","162826","23904"
"FAPP-cpupa","Thread","0","0","19","kernel","1","840","11623424","203265208","27999644","749658","336637","450522244","2505167","3239857","162671","24000"
"FAPP-cpupa","Thread","0","0","20","kernel","1","840","11624000","203354645","28012059","749643","337677","450389417","2505646","3249125","162651","24153"
"FAPP-cpupa","Thread","0","0","21","kernel","1","840","11669632","203882426","27977461","748824","344926","450379578","2501436","3248761","162373","24417"
"FAPP-cpupa","Thread","0","0","22","kernel","1","840","11593248","202966975","28013174","748751","327976","450345655","2505609","3249802","162485","23748"
"FAPP-cpupa","Thread","0","0","23","kernel","1","840","11645408","203785905","28026456","751165","337377","450494055","2506898","3249358","162784","24222"
"FAPP-cpupa","Thread","0","0","24","kernel","1","840","11682656","204737581","28035323","751422","385055","450560799","2493756","401307","3546586","186542"
"FAPP-cpupa","Thread","0","0","25","kernel","1","840","11668704","204629005","28058429","752792","384196","450594076","2494654","400927","3559729","185930"
"FAPP-cpupa","Thread","0","0","26","kernel","1","840","11675584","204514615","28056123","752562","384124","450307338","2493560","401414","3559601","184046"
"FAPP-cpupa","Thread","0","0","27","kernel","1","840","11683552","204704978","28041976","752464","386566","450649193","2493744","401403","3546537","186883"
"FAPP-cpupa","Thread","0","0","28","kernel","1","840","11677600","204551609","28064231","753495","387494","450652851","2493949","402998","3559543","189033"
