"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:21 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.901398","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091526","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123264","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0325","0x0003","0x0049","0x0017","0x0300","0x80ad","0x80ae","0x0326"
"FAPP-cpupa","Thread","0","0","27","all","0","1","30083168","600548666","286110","13704303","9454493","4840773","1704570","0","0","213634"
"FAPP-cpupa","Thread","0","0","28","all","0","1","30087104","600591600","267481","13717497","9455958","5715118","1561382","0","0","205843"
"FAPP-cpupa","Thread","0","0","29","all","0","1","30053152","601027861","262381","13688310","9430138","5526289","1594359","0","0","205745"
"FAPP-cpupa","Thread","0","0","30","all","0","1","30395328","607868193","238021","13657287","9443572","4027270","1520489","0","0","197549"
"FAPP-cpupa","Thread","0","0","31","all","0","1","30287648","604613254","259631","13689214","9448531","4010222","1561468","0","0","199468"
"FAPP-cpupa","Thread","0","0","32","all","0","1","30073600","601339829","241826","13654367","9435681","4930675","1500841","0","0","188337"
"FAPP-cpupa","Thread","0","0","33","all","0","1","30362560","607156280","273511","13670831","9422842","5913165","1671344","0","0","207509"
"FAPP-cpupa","Thread","0","0","34","all","0","1","30075616","601417125","252935","13705871","9449900","4426872","1599343","0","0","197859"
"FAPP-cpupa","Thread","0","0","35","all","0","1","30198208","602848762","257503","13658109","9430287","4343550","1553984","0","0","196350"
"FAPP-cpupa","Thread","0","0","36","all","0","1","30223904","598534138","259107","13711190","9459050","4650887","1598979","0","0","216208"
"FAPP-cpupa","Thread","0","0","37","all","0","1","30063200","600048291","279031","13691692","9443603","5205400","1709366","0","0","231271"
"FAPP-cpupa","Thread","0","0","38","all","0","1","30019104","600348102","263358","13653105","9436974","4967666","1647349","0","0","232105"
"FAPP-cpupa","Thread","0","0","39","all","0","1","30111968","601115498","278365","13706386","9434502","4995015","1741312","0","0","227289"
"FAPP-cpupa","Thread","0","0","40","all","0","1","37319136","745235332","255894","13669016","9448019","5609205","1508543","0","0","213510"
"FAPP-cpupa","Thread","0","0","41","all","0","1","30048096","600927841","234984","13692925","9436457","3694713","1569458","0","0","208648"
"FAPP-cpupa","Thread","0","0","42","all","0","1","30065760","601214861","242099","13715107","9451171","3428964","1518855","0","0","209999"
"FAPP-cpupa","Thread","0","0","43","all","0","1","30026368","600426850","294033","13701204","9443589","6594906","1633911","0","0","228906"
"FAPP-cpupa","Thread","0","0","44","all","0","1","30019712","600359141","239232","13703309","9460483","4502390","1511999","0","0","202968"
"FAPP-cpupa","Thread","0","0","45","all","0","1","30371712","607398797","284835","13691283","9441636","6309552","1699181","0","0","225154"
"FAPP-cpupa","Thread","0","0","46","all","0","1","30225920","604418989","260206","13680097","9456758","5225808","1604706","0","0","201726"
"FAPP-cpupa","Thread","0","0","47","all","0","1","30076384","601491676","232211","13726873","9453061","3598622","1522249","0","0","200377"
"FAPP-cpupa","Process","0","0","-","kernel","1","40320","563576000","9894925577","3306101","474686506","402053660","112605525","7429291","0","0","1449785"
"FAPP-cpupa","Thread","0","0","0","kernel","1","840","11923936","211077227","206861","9827308","8401634","6249453","343937","0","0","32281"
"FAPP-cpupa","Thread","0","0","1","kernel","1","840","11938176","210769026","54806","9886144","8398854","1032297","142544","0","0","26898"
"FAPP-cpupa","Thread","0","0","2","kernel","1","840","11975392","211802727","70307","9880160","8400888","1662561","164104","0","0","28508"
"FAPP-cpupa","Thread","0","0","3","kernel","1","840","12034368","212259930","33398","9884553","8393031","562378","124546","0","0","21022"
"FAPP-cpupa","Thread","0","0","4","kernel","1","840","11990976","211915042","106667","9892925","8389743","2409691","176809","0","0","26668"
"FAPP-cpupa","Thread","0","0","5","kernel","1","840","12026080","212584398","81354","9897184","8380844","2029193","149742","0","0","19081"
